article_id,viewpoint_id,speaker,organization,stance,affected_provision,reason,source_quote
21b8f78374b09148,21b8f78374b09148:V02,universities and education organisations,,oppose,new fixed period of stay replacing the duration of status system,"may create uncertainty for students pursuing doctoral degrees, research-based master’s programmes, medical education and other courses that often exceed four years","universities and education organisations have warned that the change may create uncertainty for students pursuing doctoral degrees, research-based master’s programmes, medical education and other courses that often exceed four years"
6190b0444c6018fe,6190b0444c6018fe:V01,Department of Homeland Security,Department of Homeland Security,support,assigning a fixed period of stay,would strengthen oversight of visa holders and help prevent potential abuse of the US immigration system,The Department of Homeland Security said assigning a fixed period of stay would strengthen oversight of visa holders and help prevent potential abuse of the US immigration system.
6190b0444c6018fe,6190b0444c6018fe:V02,Critics,,oppose,new restrictions on length of stay for foreign students and journalists,could make it more difficult for US institutions to attract international students and create additional challenges for foreign journalists working in the country,Critics say the new restrictions could make it more difficult for US institutions to attract international students and create additional challenges for foreign journalists working in the country.
718451c5503cdb9a,718451c5503cdb9a:V01,Department of Homeland Security,U.S. Department of Homeland Security,support,capping international student stay to four years under their visa,"restores integrity to the nation’s immigration system, combats rampant visa abuse and strengthens national security through regular vetting","DHS said the new ruling “restores integrity to the nation’s immigration system, combats rampant visa abuse and strengthens national security through regular vetting.”"
718451c5503cdb9a,718451c5503cdb9a:V02,Markwayne Mullin,Department of Homeland Security,support,capping international student stay to four years under their visa,ensures that foreign students remain focused on their primary purpose: completing their studies and returning home,“This final rule ensures that foreign students remain focused on their primary purpose: completing their studies and returning home.”
592d184def3b872a,592d184def3b872a:V01,Homeland Security Secretary Markwayne Mullin,Department of Homeland Security,support,Replacing the 'duration of status' system with the new rules,The previous system had allowed some students to remain in the US indefinitely by continually enrolling in courses; the new rule ensures foreign students remain focused on completing their studies and returning home.,Homeland Security Secretary Markwayne Mullin said the previous system had allowed some students to remain in the US indefinitely by continually enrolling in courses.
592d184def3b872a,592d184def3b872a:V02,Homeland Security Secretary Markwayne Mullin,Department of Homeland Security,support,New rule limiting student stay to four years,Ensures that foreign students remain focused on their primary purpose: completing their studies and returning home.,"“This final rule ensures that foreign students remain focused on their primary purpose: completing their studies and returning home,” he said."
65a2e61fa19416e7,65a2e61fa19416e7:V01,Sanjay Laul,MSM Unify,support,ending the 'duration of status' system,it is the most consequential change to US student visa policy in three decades,Today's DHS rule ending 'duration of status' is the most consequential change to US student visa policy in three decades.
65a2e61fa19416e7,65a2e61fa19416e7:V02,Sanjay Laul,MSM Unify,neutral,four-year cap,the four-year cap is not what hits Indian students hardest since most are in two-year master's programs,"But the headline number, the four-year cap, is not actually what hits Indian students hardest"
65a2e61fa19416e7,65a2e61fa19416e7:V03,Sanjay Laul,MSM Unify,oppose,reduction of post-study grace period from 60 to 30 days,it gives graduates less time to find employment after completing their degrees,"reduction of the post-study grace period from 60 days to 30 days, giving graduates less time to find employment"
65a2e61fa19416e7,65a2e61fa19416e7:V04,Sanjay Laul,MSM Unify,oppose,fixed four-year stay limit,PhD candidates and research scholars' programs often extend beyond four years and extensions could cause delays and complications,PhD candidates and research scholars could face greater challenges as many doctoral programs extend beyond four years
65a2e61fa19416e7,65a2e61fa19416e7:V05,Sanjay Laul,MSM Unify,oppose,extension process through USCIS,extensions might get stuck causing America's loss of STEM talent to other countries,"If those extensions get stuck, America's loss becomes Canada's, Germany's, and Australia's gain, because this is exactly the STEM talent every country is competing for"
65a2e61fa19416e7,65a2e61fa19416e7:V06,Sanjay Laul,MSM Unify,support,advising Indian students to maintain strict documentation and apply for OPT at earliest,to navigate the new rules effectively and avoid problems,"Laul advised maintaining strict documentation, applying for OPT at the earliest eligible opportunity and avoiding unnecessary program changes."
65a2e61fa19416e7,65a2e61fa19416e7:V07,Sanjay Laul,MSM Unify,neutral,impact of new F-1 visa rule on Indian student demand for US universities,"while it may encourage some families to explore alternatives, demand for American universities is unlikely to disappear","While the rule could encourage some families to explore alternatives such as Canada and European countries, Laul said demand for American universities is unlikely to disappear."
65a2e61fa19416e7,65a2e61fa19416e7:V08,Sanjay Laul,MSM Unify,support,US institutions with strong placement records,they are likely to benefit as students focus increasingly on career outcomes,institutions with strong placement records are likely to benefit as students increasingly focus on career outcomes.
65a2e61fa19416e7,65a2e61fa19416e7:V09,Sanjay Laul,MSM Unify,neutral,impact of AI adoption on US job market for international graduates,"traditional entry-level opportunities are being reshaped by AI, creating challenges and opportunities","students are now entering a market where traditional entry-level opportunities in areas such as coding, analysis and support roles are being reshaped by artificial intelligence."
65a2e61fa19416e7,65a2e61fa19416e7:V10,Sanjay Laul,MSM Unify,support,importance of developing practical AI skills alongside degrees,AI skills may improve job prospects in a changing market,students who develop practical AI capabilities alongside their degrees may have stronger prospects in an evolving job market.
65a2e61fa19416e7,65a2e61fa19416e7:V11,Sanjay Laul,MSM Unify,support,choosing programs with AI-focused coursework and building hands-on experience,to improve employment chances before graduation,advising students to choose programs with AI-focused coursework and build hands-on experience before graduation.
de5a27e8831b88a5,de5a27e8831b88a5:V01,Khanderao Kand,The Foundation for India and Indian Diaspora Studies (FIIDS),oppose,new four-year limit on F-1 and J-1 visas,This is a self-inflicted wound on US competitiveness; cap misaligns with actual degree durations; USCIS delays; forced mid-program exits; loss of talent; innovation pipeline to competitors,"""This is a self-inflicted wound on US competitiveness,"" said Khanderao Kand, chief of policy and strategy at FIIDS."
de5a27e8831b88a5,de5a27e8831b88a5:V02,Khanderao Kand,The Foundation for India and Indian Diaspora Studies (FIIDS),oppose,new four-year limit on F-1 and J-1 visas,Students will be forced out mid-program or mid-research; labs lose critical talent; innovation pipeline handed to competitors,"""Students will be forced out mid-program or mid-research, labs will lose critical talent, and America will hand its innovation pipeline to competitors,"" he said."
de5a27e8831b88a5,de5a27e8831b88a5:V03,The Foundation for India and Indian Diaspora Studies (FIIDS),The Foundation for India and Indian Diaspora Studies (FIIDS),oppose,rule ending duration of status and imposing 4-year limit,"Uncertainty about extensions could disrupt labs, delay graduations, destabilize faculty recruitment","Uncertainty surrounding extensions could disrupt laboratories, delay graduations and destabilise faculty recruitment plans tied to international talent, the group warned."
de5a27e8831b88a5,de5a27e8831b88a5:V04,The Foundation for India and Indian Diaspora Studies (FIIDS),The Foundation for India and Indian Diaspora Studies (FIIDS),support,statutory exemptions for graduate and STEM programmes exceeding 48 months with 64-month limit and automatic extensions,Median completion periods often exceed 48 months; exemptions would accommodate this reality,"It also proposed statutory exemptions for graduate and STEM programmes whose median completion periods exceed 48 months, subject to a 64-month limit with automatic extensions."
6106154cd96d400d,6106154cd96d400d:V01,Khanderao Kand,Foundation for India and Indian Diaspora Studies (FIIDS),oppose,"new visa rule imposing a four-year maximum admission period for F-1, J-1, and I visa holders","the move could undermine US competitiveness; median bachelor's degree takes about 52 months, doctoral programmes about six years; new cap could force students to leave before completing research, disrupt laboratories and weaken America's innovation ecosystem","""This is a self-inflicted wound on US competitiveness,"" he said, noting that the median completion time for a bachelor's degree is about 52 months, while doctoral programmes typically take nearly six years."
6106154cd96d400d,6106154cd96d400d:V02,Khanderao Kand,Foundation for India and Indian Diaspora Studies (FIIDS),oppose,new visa rule's effects on research programmes and visa extension uncertainty,"research-intensive doctoral programmes, medical training and J-1 research scholar programmes last five to seven years, making them vulnerable; delays in graduations, disruptions in research projects and faculty recruitment complications","FIIDS said research-intensive doctoral programmes, medical training and J-1 research scholar programmes routinely last between five and seven years, making them particularly vulnerable under the revised rules."
6106154cd96d400d,6106154cd96d400d:V03,Khanderao Kand,Foundation for India and Indian Diaspora Studies (FIIDS),oppose,implementation of the new visa rule without delay or student protections,"degree pathways power American labs and startups, so implementation should not disrupt them","""If the goal is integrity, do it without blowing up degree pathways that power American labs and startups,"" he said."
865b6f64b98a7c95,865b6f64b98a7c95:V01,Texas,,oppose,enrolling illegal aliens at preferential tuition rates,Texas agreed to stop enrolling illegal aliens at preferential tuition rates in a settlement upheld by the court.,a settlement with the Trump Administration whereby Texas agreed to stop enrolling illegal aliens at preferential tuition rates.
a04e3cef0a75d9cf,a04e3cef0a75d9cf:V01,immigration attorney Gnanamookan Sethurjothi,,neutral,preliminary injunction blocking the rule from taking effect,"This is a pause, not a final ruling. The government is expected to appeal, and the case is still being litigated.","He said, “This is a pause, not a final ruling. The government is expected to appeal, and the case is still being litigated.”"
a04e3cef0a75d9cf,a04e3cef0a75d9cf:V02,U.S. District Judge F. Dennis Saylor IV,,oppose,DHS rule that would have ended duration of status for international students,potential damage to American higher education and the economy described as likely to be catastrophic,"the judge noted the potential damage such a policy could cause to American higher education and the economy, describing it as “likely to be catastrophic.”"
