claim_id,evidence_rank,citation,evidence_type,source_url,evidence_excerpt
043902b3c15aa603:C04,2,8 CFR 214.1(m)(1),regulatory_text,,"(1) Transition from duration of status admission to a fixed admission period for aliens properly maintaining F and J status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Aliens with F or J status who are properly maintaining their status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE] and who were admitted for duration of status are authorized to remain in the United States in F or J nonimmigrant status until the later date of either the expiration date on an Employment Authorization Document, Form I-766, or successor form or the program end date noted on their Form I-20 or Form DS-2019, as applicable, not to exceed a period of 4 years from [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], plus the departure period of 60 days for F nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 120 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], and 30 days for J nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 90 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Subject to 8 CFR 274a.14, any authorized employment or training continues until the program end date on such F or J nonimmigrant's Form I-20 or DS-2019, as applicable and as endorsed by the designated school official or responsible officer for employment or training, or expiration date on the alien's Employment Authorization Document, Form I-766, or successor form. Aliens who need additional time to complete their current program of study, including requests for post-completion optional practical training (OPT) and Science Technology Engineering and Mathematics (STEM) OPT, or exchange visitor program, including academic training, or would like to start a new program of study or exchange visitor program must apply for an extension of stay with USCIS in accordance with paragraph (c)(2) of this section for an admission period to a fixed date."
043902b3c15aa603:C04,3,8 CFR 214.2(j)(1)(ii)(C),regulatory_text,,"(C) Period of stay. A J-1 exchange visitor and J-2 spouse and unmarried children under the age of 21 may be admitted for a period up to 30 days before the report date or start of the approved program listed on Form DS-2019 or successor form. The dependents accompanying a J-1 exchange visitor are eligible for admission in J-2 status if the exchange visitor is admitted in J-1 status. A J-1 exchange visitor and J-2 accompanying dependents may remain in the United States for a period of 30 days from the program end date or the 4-year maximum period of admission, whichever is earlier, for the purposes of departure or to otherwise seek to maintain lawful status. The 30-day period will be reflected on the alien's Arrival/Departure Record, Form I-94 or successor form. The 30-day period before the indicated report date or program start date and 30 additional days following the program end date or the 4-year maximum period of admission do not count towards the maximum period of admission."
043902b3c15aa603:C04,4,90 FR 42071,agency_explanation,,"For F and J visa holders, the Immigration and Nationality Act (INA) specifically states that aliens must have a residence in a foreign country which they have no intention of abandoning and seek to enter the United States temporarily.[^15] Yet, DHS has many examples of students and exchange visitors staying for decades in their student or exchange visitor status.[^16]"
043902b3c15aa603:C04,5,90 FR 42077,agency_explanation,,"Apart from concerns about DSOs and school owners involved in fraudulent schemes, DHS also has concerns about the actions of the aliens themselves. Some aliens have used the F classification to reside in the United States for decades by continuously enrolling in or transferring between schools, a practice facilitated by the D/S framework.[^64] DHS has identified over 2,100 aliens who first entered as F-1 students between 2000 and 2010 and remain in active F-1 status as of April 6, 2025.[^65] To extend their stay, these aliens enrolled in consecutive educational programs, they transferred to new schools, or DSOs repeatedly extended their program end dates. This practice is not limited to any one particular type of school; students at community or junior colleges, universities, and language training schools have maintained F-1 status for lengthy periods. While these instances of extended stay may not always result in technical violations of the law, DHS is concerned that such stays violate the spirit of the law, given that student status is meant to be temporary, with the alien having no intention of abandoning their residence in a foreign country, and for the primary purpose of studying, not as a way to remain in the United States indefinitely.[^66]"
043902b3c15aa603:C05,1,90 FR 42072,agency_explanation,,"Striking all references to D/S for F, J, and I nonimmigrants;"
043902b3c15aa603:C05,2,8 CFR 214.2(i)(3)(ii),regulatory_text,,"(ii) Foreign nationals travelling on a passport issued by the People's Republic of China (with the exception of Hong Kong Special Administrative Region passport holders and Macau Special Administrative Region passport holders). An alien who presents a passport from the People's Republic of China (with the exception of Hong Kong Special Administrative Region passport holders and Macau Special Administrative Region passport holders), may be admitted until the activities or assignments consistent with the I classification are completed, not to exceed 90 days."
043902b3c15aa603:C05,3,90 FR 42070,front_matter,,"Comments must be received on or before September 29, 2025. Information collection comment period: Comments on the information collection described in the Paperwork Reduction Act section below must be received by October 27, 2025."
043902b3c15aa603:C05,4,90 FR 42093,agency_explanation,,"The requirements to timely request an extension of the program end date would remain largely unchanged; however, DHS proposes a technical change to replace all references to the DSO ""granting"" an extension of the program with the term ""recommend"" an extension of the program in order for the student to file for EOS because USCIS, not the DSO, would ""grant"" the EOS. See proposed 8 CFR 214.2(f)(7)(ii). For example, a student may not necessarily be granted an EOS by USCIS if an adjudicator determines the student has not actually maintained status or does not actually have compelling academic or documented medical reasons for the delay, despite the DSO's recommendation for program extension. Where the alien requests a recommendation to extend the program end date, the DSO could only make a recommendation to extend the program if the alien requested the extension before the program end date noted on the most recent Form I-20, or successor form. Additionally, consistent with proposed changes throughout this NPRM, once the DSO recommends the extension of the program, the alien would need to timely file for an EOS on the form and in the manner designated by USCIS, with the required fees and in accordance with the filing instructions, including any biometrics required by 8 CFR 103.16 and a valid, properly endorsed Form I-20 or successor form, showing the new program end date barring extraordinary circumstances. See 8 CFR 214.1(c)(4) and proposed 8 CFR 214.2(f)(7)(ii) and (f)(7)(iii)."
043902b3c15aa603:C05,5,90 FR 42080,agency_explanation,,"Exchange visitor program categories include college and university students, which share similarities with the F-1 nonimmigrant classification. Students enrolled in such programs are pursuing post-secondary studies alongside F-1 nonimmigrants. J-1 college and university students in a degree program may be authorized to participate in the exchange visitor program so long as they meet the requirements for duration of participation, including pursuing a full course of study, echoing the full course of study requirements for F-1 nonimmigrants. Their programs may also be extended by the ROs, subject to regulation and/or approval by DOS, without an application to DHS. These similarities give rise to the same concerns related to F-1s about national security, as described above, and about fraud and abuse by J-1s and their ROs. By requiring the same fixed period of admission for F-1s and J-1s, J-1 college and university students in exchange visitor programs would be unable to circumvent the intent of this proposed rule, [^83] which is to protect the integrity of these programs and provide additional protections and mechanisms for oversight. Because J exchange visitors are also tracked in SEVIS, DHS believes it would be more effective for an immigration officer to periodically confirm that an alien has properly maintained status, rather than relying on the checks of an RO that the J-1 is pursuing the activities permitted by the exchange visitor program. As noted above, DHS believes it is more appropriate for immigration officers, with their background checks, clearances, and training from the U.S. government, to adjudicate maintenance of nonimmigrant status and whether an alien is eligible for an additional admission period. Switching from D/S to a fixed period of admission would permit immigration officers the opportunity to determine whether an alien is eligible for an additional period of time. If an officer finds a violation of status while adjudicating the alien's request, the consequences could be immediate. Applicants for EOS must also establish that they are admissible, and failure to do so will result in denial of the EOS.[^84] Admissibility grounds are complex and are properly assessed by a trained DHS officer. Such an assessment is not currently made when J exchange visitors apply for an extension of their program with their RO.[^85] Thus, admitting J exchange visitors for a fixed period, instead of for D/S, would give DHS more frequent opportunities to directly vet these foreign visitors and ensure they are bona fide exchange visitors and it would prevent and deter nefarious actors within the J exchange visitor population. Under the proposed changes to the period of admission of J exchange visitors and the applicable EOS process, DHS would more frequently collect biometrics and other information from J exchange visitors, enhancing the Government's oversight and monitoring of these aliens."
5ac3f396d3af9b42:C01,1,90 FR 42073,agency_explanation,,Decreasing from 60 to 30 days the allowed period for F-1 nonimmigrants to prepare to depart from the United States after completion of a course of study or authorized period of post-completion practical training;
5ac3f396d3af9b42:C01,2,8 CFR 214.1(m)(1),regulatory_text,,"(1) Transition from duration of status admission to a fixed admission period for aliens properly maintaining F and J status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Aliens with F or J status who are properly maintaining their status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE] and who were admitted for duration of status are authorized to remain in the United States in F or J nonimmigrant status until the later date of either the expiration date on an Employment Authorization Document, Form I-766, or successor form or the program end date noted on their Form I-20 or Form DS-2019, as applicable, not to exceed a period of 4 years from [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], plus the departure period of 60 days for F nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 120 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], and 30 days for J nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 90 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Subject to 8 CFR 274a.14, any authorized employment or training continues until the program end date on such F or J nonimmigrant's Form I-20 or DS-2019, as applicable and as endorsed by the designated school official or responsible officer for employment or training, or expiration date on the alien's Employment Authorization Document, Form I-766, or successor form. Aliens who need additional time to complete their current program of study, including requests for post-completion optional practical training (OPT) and Science Technology Engineering and Mathematics (STEM) OPT, or exchange visitor program, including academic training, or would like to start a new program of study or exchange visitor program must apply for an extension of stay with USCIS in accordance with paragraph (c)(2) of this section for an admission period to a fixed date."
5ac3f396d3af9b42:C01,3,8 CFR 214.2(f)(5)(i),regulatory_text,,"(5) Period of Stay--(i) General. An F-1 student is admitted for a fixed period of time, which is the period necessary to complete the course of study indicated on the Form I-20, or successor form, not to exceed a period of 4 years, plus additional times noted in this paragraph. A continuing F-1 student may be granted additional time following the completion of studies to engage in post-completion optional practical training (OPT) and Science Technology Engineering and Mathematics (STEM) OPT, as described in paragraph (f)(5)(i)(D) of this section. An F-1 student described in this section may be admitted for a period of up to 30 days before the indicated report date or program start date listed on Form I-20 or successor form. An alien described in this paragraph may remain in the United States for an additional 30 days as provided in paragraph (f)(5)(v) of this section. The 30-day period before the indicated report date or program start date and 30 additional days following the program end date or the 4-year maximum period of admission do not count toward the maximum length of stay. The admission periods described in this paragraph are subject to the following exceptions:"
5ac3f396d3af9b42:C01,4,8 CFR 214.2(f)(7)(vi),regulatory_text,,"(vi) Period of Stay. If an application for extension is granted, the F-1 student and the student's F-2 spouse and children, if applicable, are to be given an extension of stay for the period of time necessary to complete the program as listed on the F-1 student's Form I-20, or successor form, or requested practical training, not to exceed 4 years. The 30-day period before the indicated report date or program start date and 30 additional days following the program end date or the 4-year maximum period of admission do not count toward the maximum length of an extension. Extensions of stay for F-2 dependents may not exceed the authorized admission period of the principal F-1 student."
5ac3f396d3af9b42:C07,1,90 FR 42073,agency_explanation,,Prohibiting F-1 students at the graduate education level from changing programs at any point during a program of study.
5ac3f396d3af9b42:C07,2,90 FR 42073,agency_explanation,,Requiring any nonimmigrant who has completed a program at one educational level to only be allowed to begin another program at a higher educational level while in F-1 status and prohibiting a change to the same or a lower educational level while in F-1 status;
5ac3f396d3af9b42:C07,3,90 FR 42073,agency_explanation,,"For F-1 students changing educational objectives or transferring to an SEVP-certified school, requiring that the student complete his or her first academic year of a program of study at the school that initially issued his or her Form I-20 or successor form, unless an exception is authorized by SEVP;"
5ac3f396d3af9b42:C07,4,8 CFR 214.2(f)(5)(ii)(A),regulatory_text,,"(A) An F-1 student at any level below the graduate degree level may not change programs or educational objectives, i.e. programs, majors, or educational levels, within the first academic year of a program of study, unless an exception is authorized by SEVP for extenuating circumstances that may include, but are not limited to, a school closure or a school's prolonged inability to hold in-person classes due to a natural disaster or other cause. An F-1 student at the graduate degree level or above may not change programs at any point during a program of study."
5ac3f396d3af9b42:C07,5,90 FR 42088,agency_explanation,,"While there may be legitimate cases of students who wish to change their educational objective to gain knowledge at a lower or at the same educational level, the traditional path of study typically progresses from a lower educational program to a higher one. The existing regulations present a model consistent with the majority of bona fide students who follow this traditional trajectory. The term ""full course of study"" as defined in the existing regulations requires that the program ""lead to the attainment of a specific educational or professional objective."" [^109] Repeated changes to a program of study either within the same educational level or to move to a lower level, as well as immediate changes to a program of study upon initial entry into the United States, are not consistent with attainment of such an educational or professional objective. This understanding was reflected in the preamble to a 1986 rulemaking proposing changes to the F regulations, which stated: ""The proposed regulation . . . places limitations on the length of time a student may remain in any one level of study. Thus, the Service has eliminated applications for [EOS] for students who are progressing from one educational level to another but has placed a control over students who, for an inordinate length of time, remain in one level of study."" [^110] But, by 1991, INS eliminated all EOS applications and began to rely on DSO's to make the decision on whether educational progress was being made. In the decades that have followed, it has become clear that this has enabled thousands to stay here for decades by switching programs and not making any upward progress.[^111]"
5ac3f396d3af9b42:C08,1,8 CFR 214.2(f)(7)(i)(C)(1),regulatory_text,,"(1) A currently issued Form I-20, or successor form, indicating additional time is left to complete his or her program of study; or"
5ac3f396d3af9b42:C08,2,8 CFR 214.2(f)(7)(i),regulatory_text,,"(i) Eligibility. USCIS may grant an extension of stay to an F-1 student who has maintained his or her F-1 status, but who is unable to complete his or her program by the end of his or her authorized period of admission. Such student may be eligible for an extension if the designated school official issues a new Form I-20 or successor form certifying that the student is eligible under this paragraph. An F-1 student may be granted an extension if it is established that the student:"
5ac3f396d3af9b42:C08,3,90 FR 42073,agency_explanation,,Requiring any nonimmigrant who has completed a program at one educational level to only be allowed to begin another program at a higher educational level while in F-1 status and prohibiting a change to the same or a lower educational level while in F-1 status;
5ac3f396d3af9b42:C08,4,90 FR 42084,agency_explanation,,"In all events, when an F-1 or a J-2 nonimmigrant travels while the employment authorization or EOS application is pending, he or she is still expected to respond to any Request for Evidence (RFE) and to timely submit the requested documents. Because an RFE may arrive after an alien departs, either electronically or at a U.S. address, aliens traveling outside the United States while applications are pending are advised to make necessary arrangements to determine whether they have received an RFE relating to their application and to timely respond to any RFE.[^97] Failure to do so could result in USCIS denying an employment authorization or EOS application for abandonment."
5ac3f396d3af9b42:C08,5,90 FR 42097,agency_explanation,,"As noted above in the discussion concerning EOS applications for F nonimmigrants, DHS considered but declined to adopt a policy that will result in abandonment of the EOS application upon traveling outside the United States while the EOS is pending. A J-1 or J-2 alien who travels during the time the EOS is pending may not be considered to have abandoned the EOS application. See proposed 8 CFR 214.1(c)(8)."
5ac3f396d3af9b42:C13,1,90 FR 42073,agency_explanation,,Prohibiting F-1 students at the graduate education level from changing programs at any point during a program of study.
5ac3f396d3af9b42:C13,2,90 FR 42073,agency_explanation,,Requiring any nonimmigrant who has completed a program at one educational level to only be allowed to begin another program at a higher educational level while in F-1 status and prohibiting a change to the same or a lower educational level while in F-1 status;
5ac3f396d3af9b42:C13,3,8 CFR 214.1(m)(1),regulatory_text,,"(1) Transition from duration of status admission to a fixed admission period for aliens properly maintaining F and J status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Aliens with F or J status who are properly maintaining their status on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE] and who were admitted for duration of status are authorized to remain in the United States in F or J nonimmigrant status until the later date of either the expiration date on an Employment Authorization Document, Form I-766, or successor form or the program end date noted on their Form I-20 or Form DS-2019, as applicable, not to exceed a period of 4 years from [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], plus the departure period of 60 days for F nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 120 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE], and 30 days for J nonimmigrants, which is [DHS WILL INSERT DATE 4 YEARS AND 90 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE]. Subject to 8 CFR 274a.14, any authorized employment or training continues until the program end date on such F or J nonimmigrant's Form I-20 or DS-2019, as applicable and as endorsed by the designated school official or responsible officer for employment or training, or expiration date on the alien's Employment Authorization Document, Form I-766, or successor form. Aliens who need additional time to complete their current program of study, including requests for post-completion optional practical training (OPT) and Science Technology Engineering and Mathematics (STEM) OPT, or exchange visitor program, including academic training, or would like to start a new program of study or exchange visitor program must apply for an extension of stay with USCIS in accordance with paragraph (c)(2) of this section for an admission period to a fixed date."
5ac3f396d3af9b42:C03,1,8 CFR 214.2(f)(5)(i)(A),regulatory_text,,"(A) F-1 students whose course of study is in an English language training program are restricted to a maximum of admission period of 24 months, plus an additional 30-day period of stay for the purposes of departure or to otherwise seek to maintain lawful status."
5ac3f396d3af9b42:C03,2,8 CFR 214.2(f)(5)(i)(C),regulatory_text,,"(C) F-1 students attending a public high school, which may also include a charter school or other similar school funded by U.S. taxpayers, are restricted to an aggregate of no more than 12 months to complete their course of study, including any school breaks and annual vacations."
5ac3f396d3af9b42:C03,3,8 CFR 214.2(f)(5)(i),regulatory_text,,"(5) Period of stay--(i) General. An F-1 student is admitted for a fixed period of time, which is the period necessary to complete the course of study indicated on the Form I-20, or successor form, not to exceed a period of 4 years, plus additional times noted in this paragraph (f)(5)(i). A continuing F-1 student may be granted additional time to complete their program of study, as described in paragraphs (f)(7) and (f)(8)(iv) of this section, begin a new program of study, as described in paragraphs (f)(5)(ii)(D) and (f)(7) of this section, or following the completion of studies to engage in post-completion optional practical training (OPT) and the Science, Technology, Engineering and Mathematics (STEM) extension of OPT, as described in paragraph (f)(5)(i)(D) of this section. An F-1 student described in this section may be admitted for a period of up to 30 days before the indicated report date or program start date listed on the Form I-20 or successor form. An alien described in this paragraph (f)(5)(i) may remain in the United States for an additional 30 days as provided in paragraph (f)(5)(v) of this section. The 30-day period before the indicated report date or program start date and 30 additional days following the program end date or the 4-year maximum period of admission do not count toward the maximum length of stay. The admission periods described in this paragraph (f)(5)(i) are subject to the following exceptions:"
5ac3f396d3af9b42:C03,4,91 FR 45103,agency_explanation,,"Fifth, F-1 students in a language training program will be restricted to an aggregate of 24 months of language study, which will include breaks and an annual vacation. See new 8 CFR 214.2(f)(5)(i)(A). This limitation is a way to prevent abuse of the F-1 program. Public Law 111-306, enacted on December 14, 2010, and effective since 2011, requires language training schools enrolling F-1 students to be accredited by an accrediting agency recognized by the ED. DHS has found students enrolling in lengthy periods of language training, in some cases for more than two decades.[^307] DHS has also identified students who enrolled in language training programs despite previously being enrolled in or completing undergraduate and graduate programs requiring English language proficiency.[^308] Unlike degree programs that typically have prescribed course completion requirements, there are no nationally-recognized, standard completion requirements for language training programs and students are able to enroll in language training programs for lengthy periods of time. The lengthy enrollment in a language program, including enrollment in language courses for long periods subsequent to completion of a program of study that requires proficiency in English, raises concerns about whether the F-1 nonimmigrants meet the statutory definition of a bona fide student with the intent of entering the United States for temporary study.[^309] Therefore, there is a 24-month aggregate limit for F-1 students to participate in a language training program, as it will provide a reasonable period of time for students to attain proficiency while mitigating DHS's concerns about the integrity of the program. This timeframe generally comports with the amount of time needed to gain the highest level of English proficiency under the Cambridge English Exam.[^310] This is retained in the final rule."
5ac3f396d3af9b42:C03,5,91 FR 44979,agency_explanation,,"Limiting language training students to an aggregate 24-month period of stay, including breaks and an annual vacation;"
5ac3f396d3af9b42:C04,1,8 CFR 214.2(f)(5)(i)(C),regulatory_text,,"(C) F-1 students attending a public high school, which may also include a charter school or other similar school funded by U.S. taxpayers, are restricted to an aggregate of no more than 12 months to complete their course of study, including any school breaks and annual vacations."
5ac3f396d3af9b42:C04,2,91 FR 45102,agency_explanation,,"Second, the NPRM proposed retaining in the regulations the statutory limitation that restricts public high school students to an aggregate of 12 months of study at any public high school(s) while also clarifying that the 12-month aggregate period includes any school breaks and annual vacations. This is retained in the final rule with clarification that a public high school may also include a charter school or other similar school funded by U.S. taxpayers. See new 8 CFR 214.2(f)(5)(i)(C). Current requirements, including paying the full cost of education, also remain in place."
5ac3f396d3af9b42:C04,3,91 FR 45110,agency_explanation,,"The length of the extension granted could be up to the period of time needed to complete the program or requested practical training, not to exceed 4 years, unless the alien is a border commuter, enrolled in language training, or attending a public high school. By permitting admission only ""up to"" the prescribed period, USCIS and CBP are afforded discretion as to the ultimate length of time to grant the applicant and consider factors such as program length."
6ef49be7ff558976:C12,1,8 CFR 214.1(m)(1)(i),regulatory_text,,"(i) Notwithstanding paragraph (m)(1) of this section, an F-1 student recommended for post-completion OPT who files before his or her period of admission expires, including the 60 day departure period, an Application for Employment Authorization, Form I-765, or successor form on the form and in the manner designated by USCIS, with the required fee, as described in the form's instructions, on or before [DHS WILL INSERT DATE SIX MONTHS AFTER THE EFFECTIVE DATE OF THE FINAL RULE], is not required to file an Application to Extend/Change Nonimmigrant Status, Form I-539, or successor form for the requested period of post-completion OPT. An F-1 student recommended for STEM OPT who files, prior to his or her current OPT Employment Authorization Document, Form I-766, or successor form expires, an Application for Employment Authorization, Form I-765, or successor form on or before [DHS WILL INSERT DATE SIX MONTHS AFTER THE EFFECTIVE DATE OF THE FINAL RULE], is not required to file an Application to Extend/Change Nonimmigrant Status, Form I-539, or successor form for the requested period of STEM OPT. If the alien's application for post-completion OPT or STEM-OPT employment authorization is approved, the alien will be authorized to remain in the United States in F status until the expiration date of the employment authorization document, plus 60 days. If the employment authorization application is denied, the F-1 student would continue to be authorized to remain in the United States until the program end date listed on their Form I-20, valid on [DHS WILL INSERT DATE 60 DAYS AFTER DATE OF PUBLICATION OF THE FINAL RULE] plus 60 days, as long as he or she continues to pursue a full course of study and otherwise meets the requirements for F-1 status, or until the end date of the employment authorization document for post-completion OPT, as long as he or she continues to meet the requirements for F-1 status, plus 60 days."
