article_id,claim_id,claim_rank,claim_text,claim_category,speaker,organization,verdict,verdict_explanation,needs_review
5ac3f396d3af9b42,5ac3f396d3af9b42:C03,5,English language students would have a maximum stay of 24 months.,policy,,,supported,"The final rule explicitly restricts F-1 students in English language training programs to a maximum admission period of 24 months plus 30 days for departure (final:8 CFR 214.2/p7). This is confirmed in the agency explanation and summary of changes (final:V.F.1/p5, final:II.C/p24). Thus, the claim that English language students would have a maximum stay of 24 months is supported.",True
5ac3f396d3af9b42,5ac3f396d3af9b42:C04,6,Public high school students would be limited to only 12 months stay.,policy,,,supported,"The final rule restricts F-1 students attending public high schools (including charter schools funded by taxpayers) to an aggregate of no more than 12 months total including breaks and vacations (final:8 CFR 214.2/p9). The agency explanation affirms this limitation and clarifications (final:V.F.1/p2). Hence, the claim that public high school students would be limited to only 12 months stay is supported.",True
6ef49be7ff558976,6ef49be7ff558976:C12,1,"Under the proposed rule, F-1 students will have to file for an extension of F-1 status to be eligible for OPT and STEM OPT work extensions.",policy,Dan Berger,Green & Spiegel,contradicted,"The proposed rule specifies that F-1 students recommended for post-completion OPT or STEM OPT who timely file their employment authorization application are not required to file an extension of stay (Form I-539) for the OPT period. Therefore, the claim that students will have to file for an extension of status to be eligible for OPT and STEM OPT is incorrect under the proposed rule.",False
6ef49be7ff558976,6ef49be7ff558976:C09,2,An F-1 student at the graduate degree level or above may not change programs at any point during a program of study.,policy,,Trump administration,partially_supported,"The proposed rule states that ""an F-1 student at the graduate degree level or above may not change programs at any point during a program of study."" However, the supporting key fact KF-PROG-01 clarifies that while graduate level students may not change educational objectives, they may transfer schools with an SEVP exception for extenuating circumstances. Therefore, the claim as stated, which does not mention allowed SEVP exceptions for transfers, is an overstated summary of the proposed rule.",True
6ef49be7ff558976,6ef49be7ff558976:C04,3,The rule limits the period of stay for “foreign information media” on I visas.,policy,,Trump administration,unresolved,"No primary source evidence was supplied that addresses limits on the period of stay for ""foreign information media"" on I visas; therefore, the claim cannot be verified.",True
6ef49be7ff558976,6ef49be7ff558976:C13,4,"USCIS ended deference to prior findings of fact for adjudications during Trump’s first term, leading to more Requests for Evidence and denials on H-1B extensions.",government_position,,USCIS under Trump administration,unresolved,"The provided evidence does not discuss USCIS policies during Trump's first term regarding deference to prior findings of fact or its impact on Requests for Evidence and denials for H-1B extensions. Thus, this claim cannot be verified with the supplied evidence.",True
6ef49be7ff558976,6ef49be7ff558976:C05,5,Language training students are limited to an aggregate 24-month period of stay.,policy,,Trump administration,supported,"The final rule text and agency explanations explicitly limit F-1 students in language training programs to an aggregate 24 months of study, including breaks, with a 30-day additional departure period, confirming the claim.",True
6ef49be7ff558976,6ef49be7ff558976:C14,6,The proposed rule allows international students to obtain an extension of stay for certain valid reasons.,policy,,Trump administration,supported,"The proposed rule includes provisions allowing F-1 students to apply for and be granted extensions of stay based on a new Form I-20 and other eligibility criteria, replacing admission for duration of status with fixed admission periods. This directly supports the claim that the proposed rule allows international students to obtain extensions of stay.",True
2359f21b8ccc125e,2359f21b8ccc125e:C08,1,Students who exceed this period will need to leave the U.S. and obtain a new visa to return.,policy,,,contradicted,"The evidence states that F-1 students who cannot complete within their admission period can apply to USCIS for an extension of stay with a new Form I-20 without needing to leave the U.S. Therefore, the claim that students must leave and obtain a new visa upon exceeding the period is contradicted by the provision for extensions of stay.",False
2359f21b8ccc125e,2359f21b8ccc125e:C01,2,Newly admitted students on F-1 visa will be required to complete at least one full year at their initial institution before they can transfer to another university.,policy,,,partially_supported,"The proposed rule text explicitly states that F-1 students changing educational objectives or transferring must complete their first academic year at the school that issued their original Form I-20, unless an exception is authorized by SEVP, directly supporting the claim. Number/date values not found in cited evidence: 1.",True
2359f21b8ccc125e,2359f21b8ccc125e:C04,3,Graduate students will no longer have the option to switch programs or universities after arriving in the U.S.,policy,,,partially_supported,"The proposal prohibits graduate students from changing programs but allows transfers with SEVP exceptions for extenuating circumstances; graduate students may transfer schools only with such exceptions. The claim broadly states they will no longer have the option to switch programs or universities, which is overstated because transfers with exceptions remain allowed. Also, the reduced post-completion departure time from 60 to 30 days is supported.",True
2359f21b8ccc125e,2359f21b8ccc125e:C05,4,They are required to remain enrolled at the institution listed on their I-20 form at the time their visa was approved.,policy,,,partially_supported,"The claim states students are required to remain enrolled at the institution on their original I-20 at visa approval. Evidence requires F-1 students to complete the first academic year at that institution before transfer unless exception authorized. However, extensions of stay can be applied for, allowing continued enrollment, which qualifies the claim as partially supported rather than absolute.",True
2359f21b8ccc125e,2359f21b8ccc125e:C06,5,"Students completing their Optional Practical Training (OPT) will now have only 30 days to stay in the U.S. after their authorization expires, down from the previous 60 days.",policy,,,supported,"Final regulatory text and explanations confirm that the allowed period for F-1 students to prepare to depart after course study or post-completion OPT is decreased from 60 days to 30 days, directly supporting the claim.",True
2359f21b8ccc125e,2359f21b8ccc125e:C03,6,The updated rules prevent students from pursuing multiple degrees at the same level like consecutive master’s programs without leaving the U.S. and reapplying for a new visa.,policy,,,supported,"The proposed rule prohibits graduate-level F-1 students from changing programs at any point. It requires after completing a program, a person can only start another F-1 program at a higher educational level, prohibiting same or lower levels. The explanation discusses multiple degrees at the same level not being permitted without leaving or reapplying, aligning with the claim's assertion.",False
6d40b2196b44f01e,6d40b2196b44f01e:C12,1,"DHS pointed to fraud by school operators involved in ""pay-to-stay"" schemes, including one case leading to a prison sentence and a $450,000 fine.",government_position,DHS,DHS,partially_supported,"The claim about DHS pointing to pay-to-stay fraud schemes by school operators, including a case resulting in prison and fines, is supported by the final rule's explanation describing prosecutions, fraudulent reporting by schools and DSOs, and specific examples with sentences and forfeitures totaling more than $450,000. Number/date values not found in cited evidence: 450000.",True
6d40b2196b44f01e,6d40b2196b44f01e:C01,2,"The Department of Homeland Security (DHS) has proposed a sweeping new regulation that would impose fixed visa periods on international students, exchange visitors and foreign journalists, replacing the decades-old policy of open-ended stays based on program participation.",policy,Department of Homeland Security,DHS,supported,"The evidence shows DHS proposed striking all references to duration of status (D/S) for F, J, and I nonimmigrants and replacing it with admission for a fixed time period. It also explains the policy change from open-ended stays based on program participation to fixed visa periods, fulfilling the claim.",True
6d40b2196b44f01e,6d40b2196b44f01e:C04,3,"International students, even those enrolled in multi-year degree programs or authorized training, would be required to adhere to stricter timelines and submit applications for continued stay, each subject to government approval.",policy,Department of Homeland Security,DHS,supported,"The final rule evidence documents more restrictive timelines for students, limits on English language training program lengths, reduced preparation time post-study, extension application requirements, and oversight to prevent long-term abuses, supporting the claim that stricter timelines and government approvals apply.",True
6d40b2196b44f01e,6d40b2196b44f01e:C02,4,"The draft rule would eliminate the current ""duration of status"" (D/S) model for F and J visa holders and instead implement capped admission periods of up to four years.",policy,Department of Homeland Security,DHS,supported,"The evidence confirms that the proposed rule would eliminate the D/S model for F and J visa holders and implement capped admission periods up to 4 years. It also details transition provisions and the need for extensions beyond 4 years, matching the claim's substance. Unretrieved evidence IDs were removed.",False
6d40b2196b44f01e,6d40b2196b44f01e:C03,5,"After four years, visa holders would need to apply for an extension or depart the country.",policy,Department of Homeland Security,DHS,supported,"The evidence indicates that after the fixed admission period (up to 4 years), visa holders must apply for extension of stay or depart the U.S. It also specifies immediate departure upon denial of extension requests without grace periods, supporting the claim.",False
6d40b2196b44f01e,6d40b2196b44f01e:C05,6,"Universities, colleges and cultural exchange sponsors will have to adjust to new data collection requirements via DHS systems like SEVIS and SEVP.",policy,Department of Homeland Security,DHS,supported,"The evidence confirms that universities, colleges, and cultural exchange sponsors must comply with new biometric data requirements and use DHS systems like SEVIS and SEVP for recordkeeping and reporting, substantiating the claim.",False
b5e564589c6021a7,b5e564589c6021a7:C03,1,"This conversion resulted in male students having access to another restroom on that floor designated exclusively for males and female students having to seek an exclusive restroom elsewhere, denying their right to equal educational facilities and opportunities.",government_position,U.S. Department of Education,U.S. Department of Education,unresolved,"The supplied evidence focuses on regulatory provisions regarding nonimmigrant student status, program level transitions, length of study, and administrative concerns. None of the cited passages address restroom access policies, or gender-based facility access, nor do they discuss impacts on students' rights to equal educational facilities and opportunities. Therefore, the evidence is insufficient to verify or contradict the claim about restroom access and rights denial.",True
b5e564589c6021a7,b5e564589c6021a7:C05,2,The federal government has threatened to withhold millions in federal funds from five Virginia school districts for policies allowing students to use bathroom and locker room facilities consistent with their gender identity.,government_position,federal government,U.S. Department of Education,unresolved,"The evidence relates to visa durations, extension of stay applications, biometric collection, fraud concerns regarding school enrollment and status maintenance, and public commenting procedures. None discuss any federal government threats to withhold funds from school districts in Virginia or any policies regarding student bathroom and locker room use based on gender identity. Thus, the evidence provided is insufficient to verify or contradict the claim.",True
ea2038472c019f65,ea2038472c019f65:C01,1,The Department of Homeland Security (DHS) proposed rule (Docket No. ICEB-2025-0001) would eliminate Duration of Status (D/S) for international students and replace it with fixed four-year periods.,policy,,Department of Homeland Security,partially_supported,"The proposed rule, as indicated by evidence proposed:III.B/p3, would end D/S for F nonimmigrants and replace it with admissions for a fixed time period. The regulatory text in proposed:8 CFR 214.2/p3 states an F-1 student is admitted for a fixed period necessary to complete the program indicated on Form I-20, not to exceed 4 years. The comment deadline confirms contemporaneous timing (proposed:FRONT.DATES/p1). Thus, the claim that the DHS proposed rule would eliminate Duration of Status and replace it with fixed four-year periods is supported by the evidence. Number/date values not found in cited evidence: 0001.",True
ea2038472c019f65,ea2038472c019f65:C03,2,The proposed four-year cap would force students into costly annual visa renewals that most cannot afford on graduate student stipends alone.,interpretation,American Sociological Association,American Sociological Association,partially_supported,"The evidence confirms that the rule proposes a fixed admission period not to exceed 4 years, which could lead to more frequent renewals compared to duration of status (proposed:V.A/p15). Graduate students are prohibited from changing programs except in limited exceptions (proposed:III.B/p13,p12). However, specific evidence about forcing costly annual visa renewals unaffordable on stipends is not explicitly detailed in the evidence. The rule discusses program length admission and some transfer restrictions, but does not explicitly state the financial burden or annual renewal cost. Hence, while the four-year cap and restrictions are supported, the claim about forcing costly annual visa renewals unaffordable to most on graduate stipends is not directly verified.",True
ea2038472c019f65,ea2038472c019f65:C04,3,"The rule would create complex bureaucratic hurdles, resulting in processing delays and a constant risk of status termination, which would hinder the academic progress of international students.",interpretation,American Sociological Association,American Sociological Association,partially_supported,"The evidence confirms the rule ends D/S and replaces it with fixed admission periods (proposed:III.B/p3). Extensions of stay require discretionary approval with documented compelling reasons (proposed:V.E.v/p6,p1), and extensions are not guaranteed, which may create bureaucratic hurdles and risk of status termination. The transitional provisions allow some continued status but require extension applications thereafter (proposed:8 CFR 214.1/p31). However, the evidence does not detail explicit processing delays or an assessment that this would hinder academic progress, only that discretionary extensions and new standards apply. Therefore, the claim that the rule would create bureaucratic hurdles and constant risk that hinder academic progress is partially supported but lacks direct evidence describing processing delays or academic progress hindrance.",True
09b09e28efee3db8,09b09e28efee3db8:C03,1,"The rule would cap most student and scholar visas at four years, restrict transfers and changes of academic programs, shorten the post-completion grace period from 60 to 30 days, and limit English-language study to 24 months.",policy,,US Immigration and Customs Enforcement (ICE),partially_supported,"The proposed rule caps most student and scholar visas at 4 years and restricts English-language study to 24 months as claimed. It shortens the post-completion grace period from 60 to 30 days for new admissions, though transitioning students maintaining status as of a specified date retain longer grace periods, complicating the claim that grace periods simply shorten from 60 to 30 days. Restriction on transfers and changes of academic programs is supported by proposed conditions on timing for class resumption after transfer. Since the claim does not mention the transitional provisions that preserve some longer grace periods for certain students, it is only partially supported.",True
09b09e28efee3db8,09b09e28efee3db8:C13,2,ACE and the Presidents’ Alliance urged DHS to withdraw the rule entirely and engage directly with higher-education stakeholders to address any legitimate concerns without jeopardizing US appeal as a destination for global talent.,policy,American Council on Education (ACE) and the Presidents’ Alliance,American Council on Education and Presidents’ Alliance,unresolved,The claim concerns litigation activity not established by the indexed September 14 ruling.,True
09b09e28efee3db8,09b09e28efee3db8:C01,3,"The proposed rule would replace the longstanding “duration of status” (D/S) policy for F-1 international students and J-1 exchange visitors with fixed, four-year visa terms.",policy,,Department of Homeland Security (DHS),supported,"The proposed rule explicitly strikes all references to duration of status (D/S) for F, J, and I nonimmigrants, replacing it with admission for a fixed time period, notably a maximum of 4 years for J-1 exchange visitors. Regulatory text confirms fixed admission periods tied to program end dates not to exceed 4 years. Additional context clarifies DHS's intent to institute fixed four-year terms replacing D/S for these categories, supporting the claim in all material respects.",False
21b8f78374b09148,21b8f78374b09148:C14,1,"Until Congress completes its review and an implementation date is announced, the current “duration of status” framework will remain in force.",policy,,,contradicted,"The evidence establishes that the final rule has an effective date of September 15, 2026, at which point the fixed-period admission framework replaces the current duration of status framework. While subject to congressional review and possible change, the rule sets a definitive implementation date. Thus, the claim that the current duration of status framework will remain in force until Congress completes its review and an implementation date is announced is contradicted by the evidence, which shows a specific effective date has been set and announced in the rule itself.",False
21b8f78374b09148,21b8f78374b09148:C08,2,The Trump administration said the measure is intended to strengthen oversight of temporary visa holders and enhance national security.,government_position,Trump administration,,partially_supported,"The DHS states that the measure is intended to strengthen oversight and national security. However, the claim attributes this to the Trump administration, which is not supported or contradicted by the evidence; the documents reflect DHS's purpose without attribution to a prior administration.",True
21b8f78374b09148,21b8f78374b09148:C13,3,Administrative delays or processing backlogs could leave students temporarily out of legal status.,interpretation,,,partially_supported,"The final rule aims to provide DHS better oversight and protection, which implies administrative processes that could cause delays. The requirement that extension applications must be discretionary and meet strict criteria supports potential gaps in authorized status during processing. However, no direct explicit statement in the evidence says that administrative delays or backlogs will definitely leave students temporarily out of status, only that such delays could do so. Therefore, the claim is partially supported as it matches the reasonable implication but is not unambiguously confirmed as a guaranteed outcome.",True
21b8f78374b09148,21b8f78374b09148:C10,4,Indian students are expected to be among the most affected by the new visa rules.,interpretation,,,unresolved,"The evidence discusses broadly the affected population including F, J, and I visa holders and educational institutions but does not specifically state that Indian students are among the most affected.",True
21b8f78374b09148,21b8f78374b09148:C01,5,The US Department of Homeland Security (DHS) finalized a regulation replacing the long-standing “duration of status” system with a fixed period of stay for international students.,policy,US Department of Homeland Security (DHS),US Department of Homeland Security (DHS),supported,"The final rule text confirms that the DHS regulation replaces the duration of status system with a fixed admission period for F, J, and I visa holders, as stated in multiple regulatory passages.",True
21b8f78374b09148,21b8f78374b09148:C04,6,F-1 visa holders whose courses extend beyond four years will need to apply to DHS for an extension before their authorised stay expires.,policy,,,supported,The final rule states F-1 students whose programs extend beyond the maximum stay must apply for an extension of stay with USCIS before their authorized stay expires.,True
6190b0444c6018fe,6190b0444c6018fe:C01,1,"The Trump administration has approved new regulations limiting the length of stay in the United States for foreign students, cultural exchange programme participants and foreign journalists.",policy,,,unresolved,"No primary source evidence is provided to confirm that these regulations were approved by the Trump administration. The final rule was published by DHS in 2026, with no evidence to link the regulation approval to the Trump administration.",True
6190b0444c6018fe,6190b0444c6018fe:C07,2,The Department of Homeland Security said assigning a fixed period of stay would strengthen oversight of visa holders and help prevent potential abuse of the US immigration system.,government_position,Department of Homeland Security,Department of Homeland Security,unresolved,No primary source evidence provided to confirm that the Department of Homeland Security specifically stated that assigning fixed stay periods would strengthen oversight and prevent abuse.,True
6190b0444c6018fe,6190b0444c6018fe:C02,3,"Under the final regulations issued by the US Department of Homeland Security, holders of F visas for foreign students and J visas for exchange programme participants will, in most cases, be allowed to stay in the United States for a maximum of four years.",policy,US Department of Homeland Security,US Department of Homeland Security,supported,"The final rule replaces duration of status (D/S) with admission for a fixed time period for F and J visa holders, mostly capped at a maximum of four years. Aliens maintaining status on September 15, 2026 may stay up to 4 years from that date per 8 CFR 214.1(m)(1). J-1 visitors are admitted for the length of the program, up to 4 years, per 8 CFR 214.2(j)(1)(ii)(A). These points directly support the claim.",True
6190b0444c6018fe,6190b0444c6018fe:C04,4,"The new rules also limit the stay of Chinese journalists to 90 days, although they may apply for an extension before their authorised stay expires.",policy,,,supported,"The rule specifies a 90-day limit for I nonimmigrants from the People's Republic of China (excluding Hong Kong and Macau passport holders) with possibility to apply for extensions, confirming the claim. Unretrieved evidence IDs were removed.",True
6190b0444c6018fe,6190b0444c6018fe:C09,5,"The changes could particularly affect doctoral students and graduates working under the Optional Practical Training (OPT) programme, as they may also need to apply for extensions to continue their stay.",interpretation,,,supported,"The rule and accompanying explanations indicate doctoral students and graduates working under OPT may need to apply for extensions to continue their stay, supporting the claim.",True
6190b0444c6018fe,6190b0444c6018fe:C03,6,Foreign journalists holding I visas will generally be permitted to remain in the country for up to 240 days.,policy,,,supported,"I visa holders may be admitted for the necessary time to complete assignments, generally not exceeding 240 days as per 8 CFR 214.2(i)(3)(i), supporting the claim that foreign journalists holding I visas will generally be permitted to remain up to 240 days.",False
718451c5503cdb9a,718451c5503cdb9a:C01,1,international students will now only be allowed to stay in the United States for four years under their visa,policy,Department of Homeland Security,U.S. Department of Homeland Security,partially_supported,"The final rule limits international students' fixed admission to a maximum of 4 years starting September 15, 2026, rather than staying indefinitely under 'duration of status'. However, current students admitted for duration of status on that date may stay until the later of their program end date or EAD expiration, but not exceeding 4 years from that date, plus a departure period. So students already present are allowed some flexibility up to 4 years, rather than 'now only allowed four years' exactly from visa start. The 60-day departure period for F students after their stay ends is preserved for current students, contrary to some interpretations that reduce grace to 30 days for all. Therefore, the claim that international students will now only be allowed four years is partly supported but needs context about continuation for current students and grace periods.",True
718451c5503cdb9a,718451c5503cdb9a:C03,2,"The ruling guts a 1978 policy, known as ‘duration of status,’ that allowed international college and university students to stay in the U.S. until their program ended",policy,,,partially_supported,"The evidence shows that the 1978 'duration of status' policy allowed students to stay in the U.S. until their program ended (with authorized practical training plus departure time). The new rule replaces this with a fixed admission period not to exceed 4 years, ending the open-ended duration of status for F, J, and I visa holders. This directly supports the claim. Unretrieved evidence IDs were removed. Number/date values not found in cited evidence: 1978.",True
718451c5503cdb9a,718451c5503cdb9a:C05,3,Current international students will start their four-year stay on that day,policy,,,partially_supported,"Current students admitted for duration of status on September 15, 2026, continue until their program end date or EAD expiration, up to 4 years from that date. The 4-year admission period starts from the program start date, not date of admission, and includes 30-day grace periods before and after programs that do not count toward the 4 years. Therefore, current students do not start a new 4-year stay exactly on the effective date but transition with some continuation; claiming they start their four-year stay 'on that day' is somewhat overstated or simplified.",True
718451c5503cdb9a,718451c5503cdb9a:C08,4,"The new ruling “restores integrity to the nation’s immigration system, combats rampant visa abuse and strengthens national security through regular vetting”",government_position,Department of Homeland Security,U.S. Department of Homeland Security,partially_supported,"The evidence supports that the new rule enhances oversight and vetting (including biometric screening and more frequent status checks) intended to improve immigration system integrity and national security by reducing opportunities for fraud and abuse. While the exact quoted phrase is not in the sources, the policy's stated purposes and effects align with restoring integrity, combating abuse, and strengthening security through regular vetting, partially supporting the claim.",True
718451c5503cdb9a,718451c5503cdb9a:C09,5,"Foreign students have been admitted into the U.S. indefinitely, allowing thousands to abuse the immigration system by perpetually enrolling in courses to avoid having to leave the U.S.",government_position,Markwayne Mullin,Department of Homeland Security,partially_supported,"The evidence shows that prior to the final rule, students were admitted for duration of status indefinitely, which created risks of abuse including prolonged stays. DHS cites multiple incidents and security risks tied to this system. However, the final rule limits stays and imposes oversight to prevent perpetual enrollment abuse. The claim that foreign students have been admitted indefinitely and that thousands abused the system to avoid leaving is supported by the DHS risk assessments and examples, though exact number counts are not specified. Hence, the claim is partially supported.",True
718451c5503cdb9a,718451c5503cdb9a:C07,6,"The ‘duration of status’ was a “loophole” that allowed international students staying for an indefinite period of time, called “forever students”",government_position,Department of Homeland Security,U.S. Department of Homeland Security,supported,"The evidence describes that the 'duration of status' (D/S) policy allowed indefinite stay under student status, which the new rule ends, replacing it with fixed-time admission periods. The DHS characterizations in the final rule match the claim that D/S was a 'loophole' and that some foreign students were 'forever students' under the prior system.",True
592d184def3b872a,592d184def3b872a:C01,1,International students will only be able to remain in the United States for a maximum period of four years.,policy,Donald Trump administration,Department of Homeland Security,partially_supported,"The final rule imposes a maximum 4-year period of admission for J-1 exchange visitors, after which they have 30 days to leave or seek to maintain status (final:8 CFR 214.2/p89). Similarly for F and J nonimmigrants maintaining status on Sept 15, 2026, they may stay up to 4 years from that date, then get a departure period (final:8 CFR 214.1/p25). However, the claim that ""international students will only be able to remain in the US for a maximum of four years"" is incomplete, as the evidence shows some transition rules allowing current students longer stay up to their program end date or EAD expiration, and a departure grace period after the 4 years (final:8 CFR 214.1/p25). The rule also shortens the F-1 post-study grace period from 60 to 30 days (final:II.C/p21). The claim does not detail these nuances, so it is only partially supported.",True
592d184def3b872a,592d184def3b872a:C05,2,The new visa rules will be published in the Federal Register in the next few days and will take effect 60 days after that.,policy,Department of Homeland Security,Department of Homeland Security,partially_supported,"The final rule was published on July 17, 2026, and the effective date is scheduled as September 15, 2026, which is approximately 60 days after publication (final:FRONT.DATES/p1, [unretrieved evidence]). The rule is subject to congressional review with at least 60 days delay. The claim that publication will occur ""in the next few days"" is outdated as the final rule is already published as of the evidence date. The claim about taking effect 60 days after publication aligns with the statutory process, but the final rule sets a fixed effective date of September 15, 2026. Thus, the claim is partially supported but the timing phrasing is not precise. Unretrieved evidence IDs were removed.",True
592d184def3b872a,592d184def3b872a:C02,3,The new final rule to be published by the Department of Homeland Security will impact visitors on cultural exchange programmes who possess a J visa and foreign journalists with an I visa.,policy,Department of Homeland Security,Department of Homeland Security,supported,"The final rule changes the admission period from duration of status to a fixed time period not only for F visas, but also for J exchange visitor visas and I foreign-media representative visas (final:FRONT.SUMMARY/p1). Regulatory text confirms these changes affect J and I visa holders, including visitation limitations and extension processes (final:8 CFR 214.2/p74, final:8 CFR 214.2/p30). DHS explains the regulatory purpose clearly (final:II.A/p6). Therefore, the claim that the new final rule will impact visitors on cultural exchange programs with J visas and foreign journalists with I visas is directly supported.",False
592d184def3b872a,592d184def3b872a:C03,4,"These visas (F, J, I) are currently available for the duration of an educational programme or employment in the US.",policy,,,supported,"The current availability of visas in the F, J, and I classifications is for the duration of an educational program, exchange visitor program, or foreign media assignment (duration of status, D/S), as defined by regulatory text and agency explanation (final:II.A/p2). The final rule changes this to admission for a fixed time period, ending the duration of status (final:FRONT.SUMMARY/p1, final:8 CFR 214.1/p25). Thus, the claim that these visas are currently available for duration of an educational program or employment is fully supported.",False
592d184def3b872a,592d184def3b872a:C04,5,The new rules are meant to combat rampant visa abuse and strengthen national security through regular vetting.,government_position,Department of Homeland Security,Department of Homeland Security,supported,"The agency states that the regulatory changes are to provide additional protections and oversight, allowing better evaluation of maintenance of status, thereby deterring fraud and abuse and strengthening national security (final:FRONT.SUMMARY/p1, final:II.A/p10). The DHS explains the 9/11 context and the need to combat abuse and enhance tracking (final:II.A/p6). Although the evidence records DHS's stated purposes rather than verified effects, the claim that the new rules are meant to combat rampant visa abuse and strengthen national security through regular vetting is supported as DHS's objective.",False
592d184def3b872a,592d184def3b872a:C06,6,"Following that, students will have to apply for extensions periodically if they require more than four years to complete their studies or exchange programme.",policy,Department of Homeland Security,Department of Homeland Security,supported,Evidence specifies that F-1 students unable to complete their program within their admission period may apply for extensions of stay with USCIS following issuance of a new Form I-20 (final:8 CFR 214.2/p30). The immigrant nonimmigrant categories affected must apply for extensions to continue beyond fixed admission periods (final:VI.J/p3). The regulatory text limits public high school F-1 students to up to 12 months (final:8 CFR 214.2/p9). The collected text including limitations on length and the extension process supports the claim that students requiring more than four years must apply for extensions periodically.,False
